,nan,transgender female,intersex,fa'afafine,transgender,American football player,Gender fluid,sociologist,transgender male,female creature,male creature,woman,genderqueer,female,male,kathoey
Q1028181|Q177220|Q33999|Q4610556|Q36834|,,,,,,,,,,,,,,1.0,,
Q1028181|Q177220|Q36834|,,,,,,,,,,,,,,,1.0,
Q1028181|Q177220|Q42973|,,,,,,,,,,,,,,1.0,,
Q1028181|Q177220|Q482980|,,,,,,,,,,,,,,1.0,,
Q1028181|Q177220|Q49757|,,,,,,,,,,,,,,,1.0,
Q1028181|Q177220|Q49757|Q36180|Q2865819|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1792450|,,,,,,,,,,,,,,5.0,24.0,
Q1028181|Q1792450|Q1281618|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1792450|Q15966904|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1792450|Q201788|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1792450|Q36180|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1792450|Q3621491|Q42973|Q10862983|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1792450|Q3621491|Q482980|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1792450|Q482980|,,,,,,,,,,,,,,,6.0,
Q1028181|Q1792450|Q483501|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1792450|Q4964182|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1792450|Q49757|,,,,,,,,,,,,,,,1.0,
Q1028181|Q18074503|,,,,,,,,,,,,,,,1.0,
Q1028181|Q18074503|Q18216771|,,,,,,,,,,,,,,1.0,,
Q1028181|Q182436|,,,,,,,,,,,,,,,1.0,
Q1028181|Q182436|Q998628|,,,,,,,,,,,,,,,1.0,
Q1028181|Q183945|Q36834|Q639669|,,,,,,,,,,,,,,,1.0,
Q1028181|Q18510602|,,,,,,,,,,,,,,,1.0,
Q1028181|Q18510602|Q16947657|Q974144|,,,,,,,,,,,,,,,1.0,
Q1028181|Q18511668|,,,,,,,,,,,,,,,4.0,
Q1028181|Q18511668|Q2145981|,,,,,,,,,,,,,,,1.0,
Q1028181|Q18575684|,,,,,,,,,,,,,,,1.0,
Q1028181|Q18611810|,,,,,,,,,,,,,,3.0,1.0,
Q1028181|Q18611810|Q10694573|,,,,,,,,,,,,,,1.0,,
Q1028181|Q18611810|Q7541856|Q1281618|,,,,,,,,,,,,,,1.0,,
Q1028181|Q18667447|,,,,,,,,,,,,,,,1.0,
Q1028181|Q18749693|,,,,,,,,,,,,,,,1.0,
Q1028181|Q187865|,,,,,,,,,,,,,,,1.0,
Q1028181|Q18805|Q644687|,,,,,,,,,,,,,,1.0,,
Q1028181|Q188094|,,,,,,,,,,,,,,,1.0,
Q1028181|Q188094|Q13582652|Q81096|Q82955|,,,,,,,,,,,,,,,1.0,
Q1028181|Q188094|Q482980|Q33231|,,,,,,,,,,,,,,,1.0,
Q1028181|Q18814623|,,,,,,,,,,,,,,7.0,8.0,
Q1028181|Q18814623|Q2145981|,,,,,,,,,,,,,,,1.0,
Q1028181|Q18814623|Q282718|,,,,,,,,,,,,,,,1.0,
Q1028181|Q189290|,,,,,,,,,,,,,,,4.0,
Q1028181|Q18931911|Q15966904|,,,,,,,,,,,,,,,1.0,
Q1028181|Q19100|,,,,,,,,,,,,,,,1.0,
Q1028181|Q191163|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1925963|,,,,,,,,,,,,,,,10.0,
Q1028181|Q1925963|Q33231|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1925963|Q36180|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1930187|,,,,,,,,,,,,,,2.0,29.0,
Q1028181|Q1930187|Q1281618|,,,,,,,,,,,,,,1.0,,
Q1028181|Q1930187|Q1792450|Q482980|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1930187|Q201788|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1930187|Q33231|Q1281618|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1930187|Q36180|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1930187|Q37226|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1930187|Q386854|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1930187|Q4164507|Q14915627|Q36180|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1930187|Q4263842|Q13418253|Q201788|Q333634|Q37226|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1930187|Q482980|,,,,,,,,,,,,,,2.0,,
Q1028181|Q193391|,,,,,,,,,,,,,,,8.0,
Q1028181|Q193391|Q3621491|,,,,,,,,,,,,,,,1.0,
Q1028181|Q193391|Q40348|,,,,,,,,,,,,,,,1.0,
Q1028181|Q193391|Q82955|,,,,,,,,,,,,,,,1.0,
Q1028181|Q193391|Q82955|Q36180|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1934684|,,,,,,,,,,,,,,1.0,,
Q1028181|Q19729565|,,,,,,,,,,,,,,,1.0,
Q1028181|Q19754019|,,,,,,,,,,,,,,,1.0,
Q1028181|Q19850998|,,,,,,,,,,,,,,,2.0,
Q1028181|Q19890761|,,,,,,,,,,,,,,,1.0,
Q1028181|Q201788|,,,,,,,,,,,,,,1.0,16.0,
Q1028181|Q201788|Q1930187|,,,,,,,,,,,,,,,1.0,
Q1028181|Q201788|Q482980|,,,,,,,,,,,,,,,1.0,
Q1028181|Q205375|,,,,,,,,,,,,,,,1.0,
Q1028181|Q20726593|,,,,,,,,,,,,,,1.0,,
