,qid,dob,dod,name,text
2008613,Q1353365,1930.0,2005.0,Erich Thiele (Schachspieler),"Erich Thiele (* 2. Juni 1930 in Jessen (Elster); † 7. November 2005 in Dresden) war ein deutscher Schachspieler.

Erich Thiele erlernte Schach im Alter von 17 Jahren von einem Jessener Baumeister, der"
2008616,Q1353371,1930.0,,Erich Thummer,"Erich Thummer (* 16. Dezember 1930 in Hart im Zillertal) ist ein österreichischer Klassischer Philologe.

 Leben 
Erich Thummer besuchte das Bischöfliche Gymnasium Paulinum in Schwaz in Tirol. Ab 1950"
2008631,Q1353449,1926.0,1974.0,Erich Wappler,"Erich Wappler (* 17. Mai 1926 in Bernsbach, Kreis Aue; † 27. Mai 1974 in Berlin) war ein deutscher Politiker (SED) und Finanzfunktionär. Er war Kandidat des ZK der SED sowie Abteilungsleiter im ZK der"
2008736,Q1354299,1926.0,,Erika Arlt,Erika Arlt (* 30. März 1926 in Oberröblingen) ist eine deutsche Heimatforscherin. Für ihre Forschungsarbeit um das Schicksal der Überlebenden des Verlorenen Zuges und der damit verbundenen Ereignisse 
2008764,Q1354514,1930.0,,Kurt Sakowski,"thumb|Kurt Sakowski at the 1957 German Championships in Berlin
Kurt Sakowski is a retired East German race walker.

He finished eighth at the 1964 Olympic Games and finished fourth at the 1969 Europea"
2008903,Q1356257,1927.0,2003.0,Ernest Brezovszky,Ernest Brezovszky (* 30. November 1927 in Untersiebenbrunn; † 17. Juli 2003 in Wien) war ein österreichischer Bundesbeamter und Politiker (SPÖ). Brezovszky war Abgeordneter zum Landtag von Niederöster
2008907,Q1356283,1928.0,1990.0,Will Brandes,"miniatur|Electrola-Single Kiss Me, Honey Honey, Kiss Me von 1959
Will Brandes (* 11. Januar 1928 in Lahstedt; † 8. April 1990 ebenda) war ein deutscher Schlagersänger. 

 Leben 
Brandes absolvierte zu"
2009021,Q1357139,1929.0,2007.0,Ernst-Michael Kranich,"Ernst-Michael Kranich (* 29. Juni 1929 in Stuttgart; † 10. Mai 2007 ebenda) war ein deutscher Biologe, Lehrer, Goetheanist und Anthroposoph.

 Leben 
Nach dem Studium der Biologie, Geologie, Paläontol"
2009022,Q1357173,1927.0,2010.0,Ernst-Otto Meyer,"Ernst-Otto Meyer, genannt „Ötti“ (* 25. April 1927 in HolzhausenErnst-Otto Meyer bei weltfussball.de; † 16. Dezember 2010 in Mannheim) war ein deutscher Fußballspieler. In der Fußball-Oberliga erzielt"
2009024,Q1357186,1926.0,2003.0,Ernst-Rüdiger Kiesow,"Ernst-Rüdiger Kiesow (* 9. Januar 1926 in Schönhagen; † 16. Juni 2003 in Rostock) war ein evangelischer Theologe.

 Biographie 
Nach einem Studium der Theologie in Greifswald und Berlin wurde er Assis"
2009029,Q1357224,1926.0,,Ernst-Ulrich von Kameke,"Ernst-Ulrich Hubert Konrad Traugott von Kameke (* 1. März 1926 in Potsdam) ist ein deutscher Kirchenmusiker, Organist und Komponist.

 Leben 

Ernst-Ulrich von Kameke entstammt dem alten pommerschen A"
2009047,Q1357337,1928.0,1991.0,Ernst Anders (Schauspieler),"Ernst Anders (* 13. März 1928 in Wien; † 28. Mai 1991 ebenda) war ein österreichischer Schauspieler.

 Biografie 
Nach einer Kaufmannsausbildung besuchte Ernst Anders von 1949 bis 1952 die Wiener Scha"
2009208,Q1358327,1929.0,,Ernst Gottfried Mahrenholz,"miniatur|hochkant=1|Ernst Gottfried Mahrenholz, 1989
Ernst Gottfried Mahrenholz (* 18. Juni 1929 in Göttingen) war von 1981 bis 1994 Richter am Bundesverfassungsgericht und ab 1987 dessen Vizepräsiden"
2009227,Q1358425,1929.0,2011.0,Ernst Günter Hansing,"Ernst Günter Hansing (* 15. Juni 1929 in Kiel; † 31. Januar 2011 in Bad Honnef) war ein Künstler, der sich nicht ausschließlich einer Szene zuordnen lässt.

Er weist ein umfangreiches malerisches und "
2009332,Q1359016,1927.0,1993.0,Ernst Kolb (Künstler),"Ernst Kolb (* 22. Oktober 1927 in Mannheim; † 1. Juli 1993 in Mannheim) war ein deutscher Art-Brut-Künstler und Mannheimer Original. 

 Leben 

Kolbs Vater war Eisenbahner und er wuchs in einem Eisenb"
2009384,Q1359460,1927.0,2008.0,Ernst Meckelburg,"Ernst Meckelburg (* 9. April 1927 in Hanau; † 29. August 2008) war ein deutscher Journalist und Buchautor.

 Leben 
Ernst Meckelburg war 30 Jahre lang Mitarbeiter in einem Industriekonzern. Sein Spezi"
2009534,Q1360397,1926.0,2009.0,Ernst Truscheit,"Ernst Truscheit (* 16. August 1926 in Verden an der Aller; † 31. Januar 2009 in WuppertalTodesanzeige. In: Frankfurter Allgemeine Zeitung, 7. Februar 2009, Seite 36) war ein deutscher Chemiker.

 Lebe"
2009556,Q1360497,1926.0,,Ernst Waldemar Bauer,"miniatur|Ernst W. Bauer, 2001

Ernst Waldemar Bauer (* 28. Februar 1926 in Tübingen) ist ein deutscher Fernseh- und Hörfunkpublizist, Biologe, Buchautor und Dokumentarfilmer.

 Werdegang 
Nach dem Zwe"
2009667,Q1361646,1926.0,,Wernfried Maltusch,"Wernfried Maltusch (* 15. November 1926 in Sauo, Niederlausitz; † 16. November 2014 in Berlin) war ein deutscher Rundfunkfunktionär. 1989/90 war er stellvertretender Generalintendant des DDR-Rundfunks"
2009796,Q1363054,1929.0,2006.0,Erwin Horn,"Erwin Horn (* 2. Mai 1929 in Annerod; † 13. Mai 2006) war ein deutscher Politiker (SPD).

Horn, der Gymnasiallehrer war, war von 1969 bis 1998 Mitglied des Deutschen Bundestages. Er zog mit Ausnahme d"
2009838,Q1363294,1930.0,2004.0,Erwin Nowak (Feuerwehrmann),"Erwin Nowak (* 20. September 1930 in Krems an der Donau; † 11. Juli 2004 in Stratzing) war Beamter beim Magistrat Krems an der Donau, Kommandant des Niederösterreichischen Landesfeuerwehrverbandes und"
2009858,Q1363389,1926.0,2010.0,Erwin Ross,"thumb
Erwin Ross (* 24. Oktober 1926 in Wriezen; † 12. Februar 2010 in Hamburg-Altona)Erwin Ross: Der Rubens von der Reeperbahn ist tot auf mopo.de vom 15. Februar 2010 war ein deutscher Maler. Er gil"
2010480,Q1371602,1926.0,1986.0,Wolfgang Trust,"thumb|upright|Keramikvase mit Goldglasur von Wolfgang Trust
[[Datei:Bienwaldhalle Trust 003.JPG|thumb|Wandbild von Wolfgang Trust, Bienwaldhalle Wörth am Rhein]]
Wolfgang Trust (* 27. Mai 1926 in Karl"
2010661,Q1373032,1929.0,,Eugen von der Wiesche,Eugen von der Wiesche (* 20. Juni 1929 in Gevelsberg) war vom 4. November 1980 bis zum 20. Dezember 1990 für drei Wahlperioden Mitglied des Deutschen Bundestages. Er wurde für die Sozialdemokratische 
2010757,Q1373713,1930.0,,Joachim Rehork,"miniatur|Joachim Rehork (1994)
Joachim Rehork (* 1930 in Pethau) ist ein deutscher Sachbuchautor und Übersetzer.

Joachim Rehork studierte zunächst Musik an der Musikhochschule und ab 1954 Klassische "
2010809,Q1374367,1926.0,,Werner Grübmeyer,"mini|Werner Grübmeyer
Werner Grübmeyer (* 1. Juni 1926 in Lehe) ist ein deutscher Politiker der CDU und war Abgeordneter im Niedersächsischen Landtag. Während seiner politischen Laufbahn engagierte er"
2011151,Q1379050,1929.0,1998.0,Eva-Maria Görgen,"Eva-Maria Görgen (auch: Goergen; * 26. November 1929 in Düsseldorf; † November 1998 in München) war eine deutsche Opern-, Operetten- und Musicalsängerin in der Stimmlage Mezzosopran.

 Leben und Wirke"
2011158,Q1379106,1929.0,2003.0,Eva Bakos,"Eva Bakos (* 26. August 1929 in Wien; † 21. November 2003 ebenda) war eine österreichische Kulturjournalistin und Schriftstellerin von Romanen, Novellen und Reiseführern.

 Leben 

Eva Bakos sammelte "
2011235,Q1379528,1930.0,2010.0,Eva Vargas,"Eva Vargas (* 20. September 1930 in Freiburg im Breisgau; † 28. Juni 2010 in Heidelberg) war eine deutsche Sängerin, Komponistin, Journalistin und bildende Künstlerin. 
thumb|Eva Vargas Rest-Art-Zentr"
2011308,Q1380602,1929.0,2014.0,Hans Huber (Eishockeyspieler),"Johannes ""Hans"" Huber (* 10. Dezember 1929 in Rosenheim; † 28. Januar 2014 in IsmaningHans Huber gestorben) war ein  deutscher Eishockeyspieler und -trainer.

 Karriere 
Während seiner 28 Jahre dauern"
2011424,Q1382138,1929.0,,Peter Diener,"miniatur|Peter Diener
Peter Diener (* 29. Januar 1929 in Zittau) ist ein Schweizer Bergsteiger, Pionier des Extremkletterns in der Schweiz und Erstbesteiger des Dhaulagiri.

 Leben 
Peter Diener wuchs"
2011500,Q1382875,1927.0,,Ewald Moldt,"[[Datei:Bundesarchiv Bild 183-1987-0702-032, Hannover, Besuch Werner Eberlein, Schalstieg.jpg|miniatur|hochkant=1.2|Ewald Moldt (links), Werner Eberlein und Herbert Schmalstieg, Hannover 1987]]
Ewald "
2011802,Q1386316,1926.0,,F. C. Gundlach,"F. C. Gundlach (vollständig Franz Christian Gundlach; * 16. Juli 1926 in Heinebach, Hessen) ist ein deutscher Photograph, Galerist, Sammler, Kurator und Stifter. Seit September 2003 ist er Gründungsdi"
