,nan,transgender female,intersex,fa'afafine,transgender male,female animal,male animal,woman,genderqueer,female,male,kathoey
Q1004438,,,,,,,,,,,1.0,
Q1004462,,,,,,,,,,,1.0,
Q1004471,,,,,,,,,,,1.0,
Q10045,,,,,,,,,,1.0,2.0,
Q1004510,,,,,,,,,,,1.0,
Q1004520,,,,,,,,,,,1.0,
Q1004536,,,,,,,,,,,1.0,
Q1004578,,,,,,,,,,,2.0,
Q1004584,,,,,,,,,,,1.0,
Q10046,,,,,,,,,,,1.0,
Q1004626,,,,,,,,,,,1.0,
Q1004636,,,,,,,,,,,1.0,
Q1004642,,,,,,,,,,,1.0,
Q1004655,,,,,,,,,,,1.0,
Q1004664,,,,,,,,,,1.0,2.0,
Q1004666,,,,,,,,,,,2.0,
Q1004667,,,,,,,,,,1.0,20.0,
Q1004677,,,,,,,,,,,2.0,
Q1004686,,,,,,,,,,,4.0,
Q10047,,,,,,,,,,1.0,2.0,
Q1004712,,,,,,,,,,2.0,3.0,
Q1004734,,,,,,,,,,1.0,2.0,
Q1004747,,,,,,,,,,,2.0,
Q1004755,,,,,,,,,,,2.0,
Q1004761,,,,,,,,,,,2.0,
Q1004768,1.0,,,,,,,,,,,
Q1004784,,,,,,,,,,,1.0,
Q1004791,,,,,,,,,,1.0,2.0,
Q10048,,,,,,,,,,1.0,6.0,
Q1004807,,,,,,,,,,,1.0,
Q1004838,,,,,,,,,,1.0,9.0,
Q1004849,,,,,,,,,,,2.0,
Q1004880,,,,,,,,,,,1.0,
Q1004882,,,,,,,,,,,1.0,
Q1004897,,,,,,,,,,,3.0,
Q1005,,,,,,,,,,1.0,3.0,
Q10050,,,,,,,,,,1.0,2.0,
Q1005038,,,,,,,,,,,1.0,
Q1005049,,,,,,,,,,,2.0,
Q1005071,,,,,,,,,,1.0,,
Q1005082,,,,,,,,,,,2.0,
Q1005090,,,,,,,,,,,1.0,
Q10051,,,,,,,,,,,6.0,
Q1005105,,,,,,,,,,,1.0,
Q1005121,,,,,,,,,,,2.0,
Q1005138,,,,,,,,,,,1.0,
Q1005154,,,,,,,,,,,1.0,
Q1005169,,,,,,,,,,,2.0,
Q10052,,,,,,,,,,,4.0,
Q1005224,,,,,,,,,,,1.0,
Q1005246,,,,,,,,,,,1.0,
Q1005252,,,,,,,,,,,3.0,
Q1005282,,,,,,,,,,,1.0,
Q10053,,,,,,,,,,,3.0,
Q1005332,,,,,,,,,,1.0,,
Q1005350,,,,,,,,,,1.0,3.0,
Q1005356,,,,,,,,,,,2.0,
Q1005364,,,,,,,,,,,1.0,
Q1005367,,,,,,,,,,,1.0,
Q1005384,,,,,,,,,,1.0,1.0,
Q1005394,,,,,,,,,,,2.0,
Q1005403,,,,,,,,,,,6.0,
Q1005414,,,,,,,,,,1.0,2.0,
Q1005419,,,,,,,,,,1.0,6.0,
Q1005428,,,,,,,,,,1.0,1.0,
Q1005442,,,,,,,,,,,2.0,
Q1005464,,,,,,,,,,,1.0,
Q1005472,,,,,,,,,,,2.0,
Q1005483,,,,,,,,,,,4.0,
Q1005492,,,,,,,,,,,4.0,
Q10055,,,,,,,,,,,3.0,
Q1005503,,,,,,,,,,1.0,3.0,
Q1005521,,,,,,,,,,,1.0,
Q1005538,,,,,,,,,,,2.0,
Q1005555,,,,,,,,,,,11.0,
Q10056,,,,,,,,,,2.0,13.0,
Q1005607,,,,,,,,,,,1.0,
Q1005611,,,,,,,,,,,1.0,
Q1005623,,,,,,,,,,,1.0,
Q1005637,,,,,,,,,,1.0,,
Q1005655,,,,,,,,,,,1.0,
Q1005682,,,,,,,,,,,1.0,
Q1005695,,,,,,,,,,,2.0,
Q1005715,,,,,,,,,,1.0,5.0,
Q1005759,,,,,,,,,,1.0,1.0,
Q1005837,,,,,,,,,,1.0,3.0,
Q1005862,,,,,,,,,,,2.0,
Q1005885,,,,,,,,,,,2.0,
Q1005905,,,,,,,,,,,1.0,
Q1005931,,,,,,,,,,1.0,2.0,
Q1005942,,,,,,,,,,,3.0,
Q1005953,,,,,,,,,,4.0,11.0,
Q1005972,,,,,,,,,,,1.0,
Q1006,,,,,,,,,,,5.0,
Q1006022,,,,,,,,,,,1.0,
Q1006029,,,,,,,,,,,2.0,
Q1006049,,,,,,,,,,,1.0,
Q1006065,,,,,,,,,,,3.0,
Q1006076,,,,,,,,,,,4.0,
Q1006155,,,,,,,,,,,2.0,
Q1006165,,,,,,,,,,,1.0,
Q1006179,,,,,,,,,,1.0,7.0,
Q1006232,,,,,,,,,,6.0,30.0,
Q1006240,1.0,,,,,,,,,1.0,14.0,
Q1006256,,,,,,,,,,1.0,6.0,
Q1006263,,,,,,,,,,,4.0,
Q1006270,,,,,,,,,,,1.0,
Q1006277,,,,,,,,,,1.0,3.0,
Q1006282,,,,,,,,,,,5.0,
Q1006291,,,,,,,,,,,1.0,
Q1006296,,,,,,,,,,2.0,6.0,
Q1006303,,,,,,,,,,3.0,5.0,
Q1006309,,,,,,,,,,1.0,3.0,
Q1006321,,,,,,,,,,,9.0,
