,nan,transgender male,female,male
Q214028|,,,,1.0
Q214102|,,,,1.0
Q214255|,,,1.0,2.0
Q214267|,,,,2.0
Q2142888|,,,,1.0
Q2143884|,,,,1.0
Q214781|Q8434|,,,1.0,
Q214917|,,,,1.0
Q214917|Q6625963|,,,,1.0
Q216033|,,,,1.0
Q216053|,,,1.0,
Q216685|,,,,2.0
Q216866|,,,1.0,
Q217406|,,,,1.0
Q217413|,,,,1.0
Q2175941|,,,,1.0
Q2176252|,,,,1.0
Q219087|,,,1.0,
Q219477|,,,,1.0
Q219488|,,,1.0,
Q219611|,,,,1.0
Q219611|Q560575|,,,,1.0
Q219625|,,,2.0,1.0
Q2215841|,,,,1.0
Q222749|,,,3.0,
Q222749|Q11635|,,,,1.0
Q223569|Q17898|Q171899|Q131572|Q181784|Q8458|Q7174|Q242352|Q41397|Q181648|,,,1.0,
Q223569|Q185387|,,,1.0,
Q2235851|Q428691|,,,,1.0
Q2248246|,,,,1.0
Q2259451|Q10800557|,,,1.0,
Q22651|,,,,1.0
Q22667|,,,,2.0
Q22671|,,,,3.0
Q22671|Q26371|,,,,1.0
Q226730|,,,,1.0
Q22688|,,,,2.0
Q22688|Q285950|,,,,1.0
Q22719|,,,,2.0
Q227870|,,,,2.0
Q2283|,,,,1.0
Q228736|,,,,1.0
Q228736|Q321150|,,,,1.0
Q2294553|,,,,1.0
Q2302151|,,,,1.0
Q2306877|,,,,1.0
Q2310752|,,,1.0,1.0
Q231250|,,,1.0,
Q231425|,,,,1.0
Q231425|Q336103|,,,1.0,
Q2329|,,,1.0,5.0
Q2329|Q7094|,,,1.0,
Q23404|,,,1.0,2.0
Q23407|Q9465|Q484761|,,,1.0,
Q2341579|Q131165|,,,,1.0
Q2346|,,,1.0,4.0
Q234881|Q18334|Q606855|,,,,1.0
Q23498|,,,,7.0
Q235007|,,,,1.0
Q235258|Q2737409|Q335414|Q309|,,,,1.0
Q2352880|,,,,1.0
Q2353296|,,,,1.0
Q235329|,,,,1.0
Q236122|,,,,2.0
Q236122|Q737201|Q1133779|,,,,1.0
Q237200|,,,,1.0
Q2381394|,,,,1.0
Q238170|Q54505|,,,,1.0
Q2382339|,,,,1.0
Q238533|Q204680|Q50675|,,,,1.0
Q2386424|,,,,1.0
Q238651|,,,1.0,
Q2404296|,,,,1.0
Q2405480|,,,18.0,9.0
Q2405480|Q27939|,,,1.0,
Q242446|,,,,1.0
Q243264|,,,1.0,
Q243551|,,,,1.0
Q244475|,,,,3.0
Q245068|,,,,2.0
Q2487696|,,,,1.0
Q24925|,,,,2.0
Q250867|,,,,1.0
Q2516866|Q37226|,,,,1.0
