,nan,transgender female,intersex,fa'afafine,transgender male,female animal,male animal,woman,genderqueer,female,male,kathoey
Q318674,,,,,,,,,,,2.0,
Q318806,,,,,,,,,,1.0,1.0,
Q3198706,,,,,,,,,,,1.0,
Q321090,,,,,,,,,,1.0,1.0,
Q322951,,,,,,,,,,,1.0,
Q3243684,,,,,,,,,,,1.0,
Q3244280,,,,,,,,,,2.0,3.0,
Q3266335,,,,,,,,,,,1.0,
Q3267812,,,,,,,,,,1.0,,
Q327274,,,,,,,,,,,1.0,
Q32768,,,,,,,,,,,3.0,
Q32897,,,,,,,,,,,1.0,
Q329652,,,,,,,,,,,1.0,
Q33,,,,,,,,,,2.0,,
Q3310017,1.0,,,,,,,,,5.0,3.0,
Q331789,,,,,,,,,,1.0,1.0,
Q33273,,,,,,,,,,,1.0,
Q333049,,,,,,,,,,,1.0,
Q3346380,,,,,,,,,,1.0,,
Q3352263,,,,,,,,,,,1.0,
Q33543,,,,,,,,,,1.0,1.0,
Q336136,,,,,,,,,,,1.0,
Q33673,,,,,,,,,,,1.0,
Q33810,,,,,,,,,,,3.0,
Q33938,,,,,,,,,,1.0,1.0,
Q340520,,,,,,,,,,1.0,1.0,
Q340581,,,,,,,,,,1.0,4.0,
Q34069,,,,,,,,,,3.0,53.0,
Q3473575,,,,,,,,,,1.0,,
Q34749,,,,,,,,,,,1.0,
Q3476361,,,,,,,,,,2.0,4.0,
Q3531196,,,,,,,,,,,1.0,
Q35323,,,,,,,,,,7.0,29.0,
Q3535147,,,,,,,,,,,1.0,
Q35565,,,,,,,,,,,5.0,
Q3565504,,,,,,,,,,1.0,5.0,
Q3567287,,,,,,,,,,,1.0,
Q357670,,,,,,,,,,1.0,1.0,
Q36,,,,,,,,,,,1.0,
Q3607660,,,,,,,,,,,1.0,
Q36236,,,,,,,,,,3.0,3.0,
Q3631427,,,,,,,,,,,1.0,
Q3633975,,,,,,,,,,1.0,5.0,
Q3634439,,,,,,,,,,,3.0,
Q363444,,,,,,,,,,,1.0,
Q36411,,,,,,,,,,,2.0,
Q364257,,,,,,,,,,1.0,,
Q364883,,,,,,,,,,,1.0,
Q36692,,,,,,,,,,,1.0,
Q36747,,,,,,,,,,3.0,4.0,
Q368125,,,,,,,,,,,2.0,
Q37,,,,,,,,,,,1.0,
Q37014,,,,,,,,,,1.0,,
Q371230,,,,,,,,,,,1.0,
Q371762,,,,,,,,,,,1.0,
Q377085,,,,,,,,,,1.0,1.0,
Q3783506,,,,,,,,,,1.0,,
Q38,,,,,,,,,,,2.0,
Q381151,,,,,,,,,,,5.0,
Q3827586,,,,,,,,,,1.0,2.0,
Q388315,,,,,,,,,,2.0,3.0,
Q388467,,,,,,,,,,1.0,,
Q397,,,,,,,,,,1.0,1.0,
Q399,,,,,,,,,,,3.0,
Q400255,,,,,,,,,,,2.0,
Q402913,,,,,,,,,,28.0,74.0,
Q403656,,,,,,,,,,16.0,17.0,
Q40477,,,,,,,,,,,1.0,
Q4057928,,,,,,,,,,,1.0,
Q4058325,,,,,,,,,,1.0,,
Q409760,,,,,,,,,,,1.0,
Q41,,,,,,,,,,1.0,3.0,
Q4115170,,,,,,,,,,3.0,3.0,
Q4115738,,,,,,,,,,,1.0,
Q415054,,,,,,,,,,1.0,,
Q415354,,,,,,,,,,,2.0,
Q415693,,,,,,,,,,1.0,,
Q4172847,,,,,,,,,,16.0,8.0,
Q417815,,,,,,,,,,,1.0,
Q418708,1.0,,,,,,,,,2.0,4.0,
Q419,,,,,,,,,,1.0,,
Q41975,,,,,,,,,,,5.0,
Q42406,,,,,,,,,,43.0,30.0,
Q424129,,,,,,,,,,,1.0,
Q4256383,,,,,,,,,,1.0,,
Q42740,1.0,,,,,,,,,3.0,37.0,
Q427838,,,,,,,,,,1.0,,
Q42884,,,,,,,,,,15.0,39.0,
Q431,,,,,,,,,,,1.0,
Q43103,,1.0,,,,,,,,4.0,24.0,
Q4386404,,,,,,,,,,,2.0,
Q4387218,,,,,,,,,,1.0,1.0,
Q442015,,,,,,,,,,1.0,,
Q4450068,,,,,,,,,,1.0,,
Q445618,,,,,,,,,,1.0,21.0,
Q44614,,,,,,,,,,1.0,,
Q44806,,,,,,,,,,4.0,10.0,
Q45315,,,,,,,,,,,2.0,
Q457341,,,,,,,,,,,1.0,
Q46,,,,,,,,,,2.0,,
Q46118,,,,,,,,,,1.0,6.0,
Q461282,,,,,,,,,,,1.0,
Q46713,,,,,,,,,,1.0,,
Q467790,,,,,,,,,,,1.0,
Q4701435,,,,,,,,,,,1.0,
Q47140,,,,,,,,,,,1.0,
Q472834,,,,,,,,,,3.0,,
Q474202,,,,,,,,,,,1.0,
Q4745454,,,,,,,,,,1.0,,
Q475021,,,,,,,,,,1.0,2.0,
Q4763645,,,,,,,,,,,1.0,
Q4766092,,,,,,,,,,1.0,,
Q47740,,,,,,,,,,2.0,2.0,
Q47805,,,,,,,,,,1.0,,
Q4789496,,,,,,,,,,2.0,,
Q48,,,,,,,,,,1.0,,
Q48199,,,,,,,,,,,4.0,
