,nan,transgender female,intersex,transgender male,female,male
21.0,,,,,1.0,2.0
22.0,,,,,1.0,2.0
23.0,,,,,,10.0
24.0,,,,,2.0,3.0
25.0,,,,,,6.0
26.0,1.0,,,,,4.0
27.0,,,,,,4.0
28.0,,,,,1.0,
29.0,1.0,,,,1.0,1.0
30.0,,,,,,3.0
31.0,,,,,2.0,4.0
32.0,,,,,,3.0
33.0,,,,,2.0,5.0
34.0,,,,,,3.0
35.0,,,,,,2.0
36.0,,,,,2.0,6.0
37.0,,,,,1.0,4.0
38.0,,,,,1.0,6.0
39.0,,,,,1.0,6.0
40.0,,,,,,2.0
41.0,,,,,4.0,5.0
42.0,,,,,,4.0
43.0,,,,,1.0,2.0
44.0,,,,,,3.0
45.0,,,,,,2.0
46.0,,,,,,4.0
47.0,,,,,,5.0
48.0,1.0,,,,1.0,4.0
49.0,,,,,1.0,1.0
50.0,,,,,,2.0
51.0,,,,,,4.0
52.0,,,,,1.0,2.0
53.0,,,,,,2.0
54.0,,,,,1.0,7.0
55.0,1.0,,,,1.0,3.0
56.0,,,,,,2.0
57.0,,,,,,1.0
58.0,,,,,,2.0
59.0,,,,,3.0,3.0
60.0,,,,,,3.0
61.0,,,,,1.0,3.0
62.0,,,,,1.0,9.0
63.0,1.0,,,,1.0,2.0
64.0,,,,,1.0,3.0
65.0,,,,,2.0,8.0
66.0,,,,,2.0,6.0
67.0,,,,,,9.0
68.0,,,,,,14.0
69.0,,,,,4.0,15.0
70.0,,,,,1.0,14.0
71.0,,,,,,2.0
72.0,,,,,,1.0
73.0,,,,,,1.0
74.0,,,,,,1.0
75.0,,,,,,3.0
78.0,,,,,,1.0
79.0,,,,,3.0,5.0
80.0,,,,,,2.0
81.0,,,,,,1.0
82.0,,,,,1.0,3.0
83.0,,,,,1.0,
84.0,,,,,,1.0
85.0,,,,,1.0,2.0
87.0,,,,,,1.0
88.0,,,,,,3.0
89.0,,,,,,3.0
90.0,,,,,,2.0
91.0,,,,,1.0,
92.0,,,,,,3.0
93.0,,,,,,2.0
94.0,,,,,,1.0
95.0,,,,,,3.0
96.0,,,,,,3.0
97.0,,,,,1.0,4.0
98.0,,,,,,6.0
99.0,,,,,,1.0
100.0,,,,,1.0,4.0
101.0,,,,,,2.0
102.0,,,,,1.0,1.0
103.0,,,,,,2.0
104.0,,,,,,1.0
105.0,,,,,,4.0
106.0,,,,,,7.0
107.0,,,,,1.0,6.0
108.0,,,,,,2.0
109.0,,,,,,2.0
110.0,,,,,,2.0
111.0,,,,,,1.0
112.0,,,,,1.0,6.0
113.0,,,,,,1.0
114.0,,,,,,4.0
115.0,,,,,,3.0
116.0,,,,,1.0,5.0
117.0,,,,,1.0,5.0
118.0,,,,,,8.0
119.0,,,,,3.0,2.0
120.0,,,,,2.0,10.0
121.0,,,,,2.0,5.0
124.0,,,,,,2.0
125.0,,,,,,3.0
126.0,,,,,2.0,1.0
127.0,,,,,1.0,2.0
128.0,,,,,,3.0
129.0,,,,,,2.0
130.0,,,,,4.0,9.0
131.0,,,,,,2.0
132.0,,,,,,3.0
133.0,,,,,,1.0
134.0,,,,,,1.0
135.0,,,,,,5.0
136.0,,,,,1.0,3.0
138.0,,,,,1.0,7.0
139.0,1.0,,,,1.0,2.0
140.0,,,,,1.0,5.0
141.0,,,,,,1.0
143.0,,,,,1.0,2.0
144.0,,,,,,3.0
145.0,,,,,,2.0
146.0,,,,,,2.0
147.0,1.0,,,,,1.0
148.0,,,,,,1.0
150.0,,,,,1.0,4.0
151.0,,,,,,2.0
152.0,,,,,2.0,
153.0,,,,,,1.0
154.0,,,,,,4.0
155.0,,,,,,1.0
156.0,,,,,,3.0
159.0,,,,,1.0,2.0
160.0,1.0,,,,2.0,1.0
161.0,,,,,1.0,2.0
162.0,,,,,,1.0
163.0,,,,,,3.0
165.0,1.0,,,,4.0,4.0
166.0,,,,,,4.0
167.0,,,,,,2.0
168.0,1.0,,,,,6.0
169.0,1.0,,,,,5.0
170.0,1.0,,,,,11.0
171.0,,,,,,1.0
172.0,2.0,,,,1.0,1.0
174.0,,,,,,1.0
175.0,,,,,1.0,6.0
177.0,1.0,,,,3.0,5.0
178.0,1.0,,,,1.0,4.0
179.0,,,,,,3.0
180.0,,,,,,12.0
181.0,,,,,,1.0
182.0,,,,,2.0,6.0
