qid,en_label,aggregate_group
http://wikidata.org/wiki/Q2696805,Dutch Australian,
http://wikidata.org/wiki/Q27,Republic of Ireland,
http://wikidata.org/wiki/Q271790,Karen people,
http://wikidata.org/wiki/Q273854,Gauls,
http://wikidata.org/wiki/Q2749107,Islam in Sri Lanka,
http://wikidata.org/wiki/Q276879,Korean American,
http://wikidata.org/wiki/Q277647,Luhya,
http://wikidata.org/wiki/Q2778017,History of the Jews in Ukraine,
http://wikidata.org/wiki/Q2795682,Rwenzururu region,
http://wikidata.org/wiki/Q28,Hungary,
http://wikidata.org/wiki/Q2844818,Amerasian,
http://wikidata.org/wiki/Q2849692,Anglo-Irish people,
http://wikidata.org/wiki/Q285828,Gibraltarian people,
http://wikidata.org/wiki/Q2879337,Bahrani people,
http://wikidata.org/wiki/Q2883527,Banu Abs,
http://wikidata.org/wiki/Q2883553,Banu Khuza'a,
http://wikidata.org/wiki/Q2886395,Basque American,
http://wikidata.org/wiki/Q2891174,Biblical Hittites,
http://wikidata.org/wiki/Q290201,Toraja,
http://wikidata.org/wiki/Q2904712,Sebei people,
http://wikidata.org/wiki/Q2918061,People of Ethiopia,
http://wikidata.org/wiki/Q2935814,European Canadian,
http://wikidata.org/wiki/Q29401,Assamese,
http://wikidata.org/wiki/Q297382,Hausa,
http://wikidata.org/wiki/Q2986879,British African-Caribbean people,
http://wikidata.org/wiki/Q2995285,White Brazilian,
http://wikidata.org/wiki/Q2996826,Venezuelan people,
http://wikidata.org/wiki/Q2997267,Colombian people,
http://wikidata.org/wiki/Q2997706,Litvin,
http://wikidata.org/wiki/Q30,United States of America,
http://wikidata.org/wiki/Q3003133,Croatian American,
http://wikidata.org/wiki/Q301533,Fante people,
http://wikidata.org/wiki/Q3015339,Danish American,
http://wikidata.org/wiki/Q3016793,Tayy,
http://wikidata.org/wiki/Q3026395,Serbian Australian,
http://wikidata.org/wiki/Q3036435,Afro-Latin American,
http://wikidata.org/wiki/Q3044281,Demographics of Jamaica,
http://wikidata.org/wiki/Q3070998,Roma in the Republic of Macedonia,
http://wikidata.org/wiki/Q3072663,Finnish American,
http://wikidata.org/wiki/Q3075017,African immigration to France,
http://wikidata.org/wiki/Q3090608,Arab Brazilian,
http://wikidata.org/wiki/Q3091608,Indigenous peoples in Ecuador,
http://wikidata.org/wiki/Q309197,Bretons,
http://wikidata.org/wiki/Q3094841,Welsh American,
http://wikidata.org/wiki/Q31,Belgium,
http://wikidata.org/wiki/Q3107473,Jew,
http://wikidata.org/wiki/Q311883,Maranao people,
http://wikidata.org/wiki/Q3120476,Ulster Scots people,
http://wikidata.org/wiki/Q31230,Chechens,
http://wikidata.org/wiki/Q3150506,Indo-Canadians,
http://wikidata.org/wiki/Q3154490,Irish Canadian,
http://wikidata.org/wiki/Q318674,Oromo people,
http://wikidata.org/wiki/Q318806,Abenaki people,
http://wikidata.org/wiki/Q3198706,Kono people,
http://wikidata.org/wiki/Q321090,German Brazilian,
http://wikidata.org/wiki/Q322951,Cheyenne people,
http://wikidata.org/wiki/Q3243684,Kayastha,
http://wikidata.org/wiki/Q3244280,Black British,
http://wikidata.org/wiki/Q3266335,Lugbara,
http://wikidata.org/wiki/Q3267812,Portuguese American,
http://wikidata.org/wiki/Q327274,Swabian German,
http://wikidata.org/wiki/Q32768,Anglo-Saxons,
http://wikidata.org/wiki/Q32897,Banu Thaqif,
http://wikidata.org/wiki/Q329652,German Palatines,
http://wikidata.org/wiki/Q33,Finland,
http://wikidata.org/wiki/Q3310017,Pakistani,
http://wikidata.org/wiki/Q331789,Crow Nation,
http://wikidata.org/wiki/Q33273,Chewa,
http://wikidata.org/wiki/Q333049,Lakota people,
http://wikidata.org/wiki/Q3346380,Kachin people,
http://wikidata.org/wiki/Q3352263,Bengali Brahmins,
http://wikidata.org/wiki/Q33543,Mordvins,
http://wikidata.org/wiki/Q336136,Banu Bariq,
http://wikidata.org/wiki/Q33673,Kannada,
http://wikidata.org/wiki/Q33810,Oriya,
http://wikidata.org/wiki/Q33938,Hausa people,
http://wikidata.org/wiki/Q340520,Acehnese people,
http://wikidata.org/wiki/Q340581,Acholi people,
http://wikidata.org/wiki/Q34069,Ashkenazi Jews,
http://wikidata.org/wiki/Q3473575,Sardinian,
http://wikidata.org/wiki/Q34749,social science,
http://wikidata.org/wiki/Q3476361,Scottish American,
http://wikidata.org/wiki/Q3531196,Goud Saraswat Brahmin,
http://wikidata.org/wiki/Q35323,Arab,
http://wikidata.org/wiki/Q3535147,Burmese Indians,
http://wikidata.org/wiki/Q35565,Tatars,
http://wikidata.org/wiki/Q3565504,Kigezi District,
http://wikidata.org/wiki/Q3567287,Cebuano people,
http://wikidata.org/wiki/Q357670,Adivasi,
http://wikidata.org/wiki/Q36,Poland,
http://wikidata.org/wiki/Q3607660,Alak people,
http://wikidata.org/wiki/Q36236,Malayalam,
http://wikidata.org/wiki/Q3631427,Azerbaijani,
http://wikidata.org/wiki/Q3633975,Marwari,
http://wikidata.org/wiki/Q3634439,Banu Abd-Shams,
http://wikidata.org/wiki/Q363444,Bengali,
http://wikidata.org/wiki/Q36411,Shipibo-Conibo people,
http://wikidata.org/wiki/Q364257,Iranian,
http://wikidata.org/wiki/Q364883,Scottish,
http://wikidata.org/wiki/Q36692,Zhuang people,
http://wikidata.org/wiki/Q36747,Native Americans,
http://wikidata.org/wiki/Q368125,Anglo-Indian,
http://wikidata.org/wiki/Q37,Lithuania,
http://wikidata.org/wiki/Q37014,Yupik peoples,
http://wikidata.org/wiki/Q371230,Ngāi Tahu,
http://wikidata.org/wiki/Q371762,Yeniche people,
http://wikidata.org/wiki/Q377085,Assyrian people,
http://wikidata.org/wiki/Q3783506,Harry Kendall Thaw,
http://wikidata.org/wiki/Q38,Italy,
http://wikidata.org/wiki/Q381151,Walloons,
http://wikidata.org/wiki/Q3827586,Banu Hanifa,
http://wikidata.org/wiki/Q388315,Afro-Brazilian,
http://wikidata.org/wiki/Q388467,Afro-Cuban,
http://wikidata.org/wiki/Q397,Latin,
http://wikidata.org/wiki/Q399,Armenia,
http://wikidata.org/wiki/Q400255,Samia,
http://wikidata.org/wiki/Q402913,Bengali people,
http://wikidata.org/wiki/Q403656,Baganda,
http://wikidata.org/wiki/Q40477,Slavs,
http://wikidata.org/wiki/Q4057928,Adhola people,
http://wikidata.org/wiki/Q4058325,Asian people,
http://wikidata.org/wiki/Q409760,Armenian,
http://wikidata.org/wiki/Q41,Greece,
http://wikidata.org/wiki/Q4115170,British Indian,
http://wikidata.org/wiki/Q4115738,Persians in Bahrain,
http://wikidata.org/wiki/Q415054,Acadians,
http://wikidata.org/wiki/Q415354,Caucasian,
http://wikidata.org/wiki/Q415693,Akan people,
http://wikidata.org/wiki/Q4172847,Filipino people,
http://wikidata.org/wiki/Q417815,Gujarati,
