qid,en_label,aggregate_group
http://wikidata.org/wiki/Q23792,Palestine,
http://wikidata.org/wiki/Q238,San Marino,
http://wikidata.org/wiki/Q241,Cuba,
http://wikidata.org/wiki/Q241748,Kingdom of Serbia,
http://wikidata.org/wiki/Q242,Belize,
http://wikidata.org/wiki/Q2429397,Ancient Carthage,
http://wikidata.org/wiki/Q243610,Ukrainian People's Republic,
http://wikidata.org/wiki/Q244,Barbados,
http://wikidata.org/wiki/Q244165,Nagorno-Karabakh Republic,
http://wikidata.org/wiki/Q245160,Democratic Republic of Georgia,
http://wikidata.org/wiki/Q2453974,Don Republic,
http://wikidata.org/wiki/Q2475921,Outer Mongolia,
http://wikidata.org/wiki/Q24879,Bremen,
http://wikidata.org/wiki/Q249934,Burji dynasty,
http://wikidata.org/wiki/Q25,Wales,
http://wikidata.org/wiki/Q2505692,Belgian nationality law,
http://wikidata.org/wiki/Q252,Indonesia,
http://wikidata.org/wiki/Q25228,Anguilla,
http://wikidata.org/wiki/Q252580,Duchy of Modena and Reggio,
http://wikidata.org/wiki/Q25344,Swiss franc,
http://wikidata.org/wiki/Q2577303,Q2577303,
http://wikidata.org/wiki/Q258,South Africa,
http://wikidata.org/wiki/Q26,Northern Ireland,
http://wikidata.org/wiki/Q2603851,Kingdom of Serbia,
http://wikidata.org/wiki/Q26167,Duchy of Schleswig,
http://wikidata.org/wiki/Q262,Algeria,
http://wikidata.org/wiki/Q2622868,Kingdom of Armenia,
http://wikidata.org/wiki/Q265,Uzbekistan,
http://wikidata.org/wiki/Q2670092,Dominion of Ceylon,
http://wikidata.org/wiki/Q268970,Republic of German-Austria,
http://wikidata.org/wiki/Q26988,Cook Islands,
http://wikidata.org/wiki/Q27,Republic of Ireland,
http://wikidata.org/wiki/Q270,Warsaw,
http://wikidata.org/wiki/Q27306,Kingdom of Prussia,
http://wikidata.org/wiki/Q27394,Southern Africa,
http://wikidata.org/wiki/Q274536,Azerbaijan,
http://wikidata.org/wiki/Q2754061,Russian nationality law,
http://wikidata.org/wiki/Q2770,Tula,
http://wikidata.org/wiki/Q28,Hungary,
http://wikidata.org/wiki/Q28179,Joseon,
http://wikidata.org/wiki/Q28233,Korean Empire,
http://wikidata.org/wiki/Q282428,Mamluk Sultanate,
http://wikidata.org/wiki/Q28244,Amharic,
http://wikidata.org/wiki/Q282475,Kingdom of Kartli-Kakheti,
http://wikidata.org/wiki/Q2843,Lübeck,
http://wikidata.org/wiki/Q28456,Silla,
http://wikidata.org/wiki/Q284667,Electorate of Mainz,
http://wikidata.org/wiki/Q28513,Austria-Hungary,
http://wikidata.org/wiki/Q288,Tours,
http://wikidata.org/wiki/Q2895,Byelorussian Soviet Socialist Republic,
http://wikidata.org/wiki/Q29,Spain,
http://wikidata.org/wiki/Q29520,China,
http://wikidata.org/wiki/Q295663,Albano,
http://wikidata.org/wiki/Q2979717,Second Empire of Haiti,
http://wikidata.org/wiki/Q298,Chile,
http://wikidata.org/wiki/Q2980623,Kingdom of Bosnia,
http://wikidata.org/wiki/Q2991382,County of Provence,
http://wikidata.org/wiki/Q29999,Kingdom of the Netherlands,
http://wikidata.org/wiki/Q30,United States of America,
http://wikidata.org/wiki/Q30431,Е,
http://wikidata.org/wiki/Q3051808,Kosova,
http://wikidata.org/wiki/Q30623,Manchukuo,
http://wikidata.org/wiki/Q3063393,Frac,
http://wikidata.org/wiki/Q309460,County of Hainaut,
http://wikidata.org/wiki/Q30971,French Polynesia,
http://wikidata.org/wiki/Q31,Belgium,
http://wikidata.org/wiki/Q310650,Principality of Schaumburg-Lippe,
http://wikidata.org/wiki/Q3122657,Andean civilizations,
http://wikidata.org/wiki/Q31747,Irish Free State,
http://wikidata.org/wiki/Q32,Luxembourg,
http://wikidata.org/wiki/Q320925,Shu Han,
http://wikidata.org/wiki/Q326029,Duchy of Brunswick,
http://wikidata.org/wiki/Q32768,Anglo-Saxons,
http://wikidata.org/wiki/Q3287203,Q3287203,
http://wikidata.org/wiki/Q329439,engraver,
http://wikidata.org/wiki/Q33,Finland,
http://wikidata.org/wiki/Q33296,Mughal Empire,
http://wikidata.org/wiki/Q334,Singapore,
http://wikidata.org/wiki/Q33491,Haitian,
http://wikidata.org/wiki/Q335088,Armenian Kingdom of Cilicia,
http://wikidata.org/wiki/Q33788,New Caledonia,
http://wikidata.org/wiki/Q33946,Czechoslovakia,
http://wikidata.org/wiki/Q34,Sweden,
http://wikidata.org/wiki/Q340,Montreal,
http://wikidata.org/wiki/Q34020,នីអ៊ូ,
http://wikidata.org/wiki/Q3403551,Principality of Halych,
http://wikidata.org/wiki/Q34266,Russian Empire,
http://wikidata.org/wiki/Q3456410,Republic of Mulhouse,
http://wikidata.org/wiki/Q3462133,Saxe-Coburg and Gotha,
http://wikidata.org/wiki/Q347,Liechtenstein,
http://wikidata.org/wiki/Q34754,Somaliland,
http://wikidata.org/wiki/Q348670,Q348670,
http://wikidata.org/wiki/Q348785,Oryol Governorate,
http://wikidata.org/wiki/Q3496079,Czech Republic,
http://wikidata.org/wiki/Q35,Denmark,
http://wikidata.org/wiki/Q35323,Arab,
http://wikidata.org/wiki/Q35355,Sumer,
http://wikidata.org/wiki/Q354100,Kaza,
http://wikidata.org/wiki/Q36,Poland,
http://wikidata.org/wiki/Q36392,Moldovan,
http://wikidata.org/wiki/Q365,Cologne,
http://wikidata.org/wiki/Q36704,Yugoslavia,
http://wikidata.org/wiki/Q36747,Native Americans,
http://wikidata.org/wiki/Q368628,Sicyon,
http://wikidata.org/wiki/Q37,Lithuania,
http://wikidata.org/wiki/Q37024,Serbia and Montenegro,
http://wikidata.org/wiki/Q370736,Cape Colony,
http://wikidata.org/wiki/Q3708826,German,
http://wikidata.org/wiki/Q3769,French Guiana,
http://wikidata.org/wiki/Q38,Italy,
http://wikidata.org/wiki/Q38060,Gaul,
http://wikidata.org/wiki/Q382553,Arverni,
http://wikidata.org/wiki/Q38872,Prussia,
http://wikidata.org/wiki/Q389688,Achaemenid Empire,
http://wikidata.org/wiki/Q39,Switzerland,
http://wikidata.org/wiki/Q39193,Bohemia,
http://wikidata.org/wiki/Q395903,Cyprus,
http://wikidata.org/wiki/Q39702,Macedonia,
http://wikidata.org/wiki/Q398,Bahrain,
http://wikidata.org/wiki/Q398720,Rossiya,
http://wikidata.org/wiki/Q399,Armenia,
http://wikidata.org/wiki/Q3995,Basque Country,
http://wikidata.org/wiki/Q40,Austria,
http://wikidata.org/wiki/Q403,Serbia,
http://wikidata.org/wiki/Q4040,Aragon,
http://wikidata.org/wiki/Q4055129,Absolute monarchy in France,
http://wikidata.org/wiki/Q4064166,Q4064166,
http://wikidata.org/wiki/Q408,Australia,
http://wikidata.org/wiki/Q41,Greece,
http://wikidata.org/wiki/Q41137,Assyria,
http://wikidata.org/wiki/Q41304,Weimar Republic,
http://wikidata.org/wiki/Q414,Argentina,
http://wikidata.org/wiki/Q41470,Kurdistan,
http://wikidata.org/wiki/Q4147589,Q4147589,
http://wikidata.org/wiki/Q4147592,Moldovan nationality law,
http://wikidata.org/wiki/Q41642,Phoenicia,
http://wikidata.org/wiki/Q419,Peru,
http://wikidata.org/wiki/Q42000,Tahiti,
http://wikidata.org/wiki/Q420759,Second Bulgarian Empire,
http://wikidata.org/wiki/Q42193,Goths,
http://wikidata.org/wiki/Q42211,Vandals,
http://wikidata.org/wiki/Q423,North Korea,
http://wikidata.org/wiki/Q424,Cambodia,
http://wikidata.org/wiki/Q425028,Goto,
http://wikidata.org/wiki/Q42585,Kingdom of Bohemia,
http://wikidata.org/wiki/Q426025,Duchy of Savoy,
http://wikidata.org/wiki/Q42620,Palestinian National Authority,
http://wikidata.org/wiki/Q42667,Norwegian Forest Cat,
http://wikidata.org/wiki/Q42834,Western Roman Empire,
http://wikidata.org/wiki/Q428400,Eldiguzids,
http://wikidata.org/wiki/Q42884,Germans,
http://wikidata.org/wiki/Q43,Turkey,
http://wikidata.org/wiki/Q43287,German Empire,
http://wikidata.org/wiki/Q439327,Ukrainka,
http://wikidata.org/wiki/Q4400406,Q4400406,
http://wikidata.org/wiki/Q4437641,Abbassides,
http://wikidata.org/wiki/Q4470623,Q4470623,
http://wikidata.org/wiki/Q44806,Ukrainians,
http://wikidata.org/wiki/Q45,Portugal,
http://wikidata.org/wiki/Q45315,Berber people,
http://wikidata.org/wiki/Q45646,Umayyad family,
http://wikidata.org/wiki/Q45670,Kingdom of Portugal,
http://wikidata.org/wiki/Q457167,West Ukrainian People's Republic,
http://wikidata.org/wiki/Q458,European Union,
http://wikidata.org/wiki/Q4628,Faroe Islands,
http://wikidata.org/wiki/Q467864,People's Socialist Republic of Albania,
http://wikidata.org/wiki/Q469950,Bobo,
http://wikidata.org/wiki/Q4712,Duchy of Burgundy,
http://wikidata.org/wiki/Q4742863,American,
http://wikidata.org/wiki/Q47690,Babylonia,
http://wikidata.org/wiki/Q482942,Azerbaijani people,
http://wikidata.org/wiki/Q483505,Tajik people,
http://wikidata.org/wiki/Q484195,Timurid dynasty,
http://wikidata.org/wiki/Q484578,Uzbek Soviet Socialist Republic,
http://wikidata.org/wiki/Q486181,Samanid dynasty,
http://wikidata.org/wiki/Q486918,Khwarazmian dynasty,
http://wikidata.org/wiki/Q487829,Chagatai Khanate,
http://wikidata.org/wiki/Q4882572,Belgium,
http://wikidata.org/wiki/Q491106,Khanate of Khiva,
