,transgender male,female,male
Q131183,0.0,0.0,1.0
Q503892,0.0,0.0,1.0
Q41323,0.0,0.0,2.0
Q132438,0.0,1.0,0.0
Q13219330,0.0,0.0,1.0
Q7856,0.0,0.0,1.0
Q34187,0.0,0.0,2.0
Q308876,0.0,0.0,1.0
Q81096,0.0,0.0,3.0
Q1026962,0.0,1.0,1.0
Q7100,0.0,1.0,1.0
Q680004,0.0,0.0,1.0
Q7108,0.0,1.0,1.0
Q674684,0.0,0.0,1.0
Q44294,0.0,0.0,1.0
Q207628,0.0,0.0,1.0
Q7922,0.0,2.0,5.0
Q48301,0.0,0.0,1.0
Q5165035,0.0,0.0,1.0
Q6657015,0.0,0.0,1.0
Q333464,0.0,0.0,1.0
Q1152419,0.0,0.0,1.0
Q175156,0.0,1.0,0.0
Q6159053,0.0,0.0,1.0
Q38066,0.0,0.0,1.0
Q5308718,0.0,2.0,23.0
Q874803,0.0,0.0,1.0
Q193104,0.0,0.0,3.0
Q209402,0.0,1.0,1.0
Q790192,0.0,0.0,1.0
Q1857766,0.0,1.0,0.0
Q4006,0.0,0.0,1.0
Q1607826,0.0,0.0,2.0
Q29,0.0,0.0,1.0
Q15885248,0.0,0.0,12.0
Q1887229,0.0,0.0,1.0
Q2494,0.0,1.0,0.0
Q219488,0.0,1.0,0.0
Q8274,0.0,6.0,4.0
Q644522,0.0,0.0,2.0
Q766221,0.0,0.0,1.0
Q2898215,0.0,0.0,1.0
Q194025,0.0,0.0,1.0
Q8473,0.0,0.0,5.0
Q633683,0.0,0.0,0.0
Q235329,0.0,0.0,1.0
Q33527,0.0,1.0,0.0
Q33521,0.0,0.0,1.0
Q37845,0.0,0.0,1.0
Q3462602,0.0,0.0,1.0
Q1208658,0.0,0.0,1.0
Q816871,0.0,0.0,1.0
Q617793,0.0,0.0,1.0
Q831198,0.0,0.0,1.0
Q1483473,0.0,0.0,1.0
Q763631,0.0,1.0,0.0
Q285950,0.0,0.0,1.0
Q10811,0.0,1.0,0.0
Q211155,0.0,1.0,1.0
Q692218,0.0,0.0,1.0
Q999259,0.0,0.0,1.0
Q33231,0.0,0.0,1.0
Q160039,0.0,0.0,4.0
Q50637,0.0,1.0,12.0
Q50636,0.0,0.0,1.0
Q596284,0.0,1.0,0.0
Q7173,0.0,1.0,0.0
Q14467526,0.0,0.0,1.0
Q1279400,0.0,3.0,0.0
Q5306056,0.0,0.0,1.0
Q18694550,0.0,0.0,3.0
Q351853,0.0,0.0,1.0
Q12544,0.0,1.0,0.0
Q538925,0.0,0.0,1.0
Q1045712,0.0,0.0,1.0
Q11401,0.0,0.0,1.0
Q752171,0.0,0.0,1.0
Q10962,0.0,0.0,2.0
Q207011,0.0,1.0,1.0
Q262283,0.0,0.0,1.0
Q177220,0.0,1.0,3.0
Q80687,0.0,1.0,0.0
Q5569949,0.0,1.0,0.0
Q237151,0.0,0.0,1.0
Q162145,0.0,1.0,0.0
Q60195,0.0,0.0,1.0
Q875490,0.0,0.0,2.0
Q624044,0.0,0.0,1.0
Q3502712,0.0,0.0,1.0
Q1421557,0.0,0.0,1.0
Q275396,0.0,1.0,0.0
Q17884,1.0,0.0,1.0
Q396198,0.0,0.0,1.0
Q2747862,0.0,0.0,1.0
Q379321,0.0,0.0,1.0
Q6534,0.0,0.0,1.0
Q182357,0.0,0.0,1.0
Q354963,0.0,0.0,1.0
Q243264,0.0,1.0,0.0
Q19786,0.0,0.0,1.0
Q226730,0.0,0.0,1.0
Q338488,0.0,0.0,1.0
Q1392782,0.0,0.0,1.0
Q1166618,0.0,1.0,57.0
Q192060,0.0,1.0,0.0
Q7264,0.0,0.0,3.0
Q44197,0.0,0.0,1.0
Q16656428,0.0,0.0,1.0
Q1131236,0.0,0.0,1.0
Q32485,0.0,1.0,0.0
Q6199,0.0,0.0,2.0
Q180692,0.0,1.0,0.0
Q131222,0.0,0.0,1.0
Q41466,0.0,0.0,1.0
Q27654,0.0,1.0,6.0
Q4164507,0.0,0.0,1.0
Q1999841,0.0,0.0,1.0
Q855091,0.0,0.0,1.0
Q50030,0.0,4.0,1.0
Q1160621,0.0,0.0,3.0
Q3487504,0.0,0.0,1.0
Q173113,0.0,0.0,3.0
Q2306877,0.0,0.0,1.0
Q908684,0.0,1.0,0.0
Q12831143,0.0,0.0,2.0
Q37547,0.0,0.0,2.0
Q825754,0.0,0.0,1.0
Q18692672,0.0,0.0,1.0
Q2321196,0.0,0.0,3.0
Q2611095,0.0,0.0,1.0
Q722507,0.0,0.0,1.0
Q1581290,0.0,0.0,1.0
Q5469977,0.0,0.0,1.0
Q102904,0.0,0.0,2.0
Q11772,0.0,0.0,3.0
Q7782365,0.0,0.0,1.0
Q112983,0.0,1.0,0.0
Q8261,0.0,1.0,0.0
Q1436734,0.0,0.0,1.0
Q209306,0.0,1.0,0.0
Q187097,0.0,0.0,2.0
Q119190,0.0,0.0,5.0
Q3242115,0.0,1.0,0.0
Q995600,0.0,0.0,1.0
Q627603,0.0,0.0,2.0
Q183410,0.0,1.0,0.0
Q36834,0.0,0.0,2.0
Q959049,0.0,0.0,1.0
Q74217,0.0,0.0,2.0
Q47883,0.0,0.0,1.0
Q4430314,0.0,1.0,0.0
Q37038,0.0,0.0,1.0
Q152074,0.0,0.0,1.0
Q190117,0.0,0.0,3.0
Q1709010,0.0,0.0,1.0
Q1889,0.0,0.0,5.0
Q5898147,0.0,0.0,1.0
Q510487,0.0,0.0,1.0
Q128570,0.0,0.0,1.0
Q184199,0.0,0.0,1.0
Q678363,0.0,0.0,2.0
Q867634,0.0,0.0,1.0
Q4785493,0.0,0.0,1.0
Q564805,0.0,0.0,1.0
Q676,0.0,0.0,1.0
Q351625,0.0,0.0,1.0
Q12912932,0.0,0.0,1.0
Q215948,0.0,0.0,1.0
Q219611,0.0,0.0,2.0
Q931309,0.0,0.0,1.0
Q276412,0.0,0.0,1.0
Q50641,0.0,1.0,2.0
Q622812,0.0,0.0,1.0
Q33322,0.0,1.0,0.0
Q411,0.0,0.0,1.0
Q413,0.0,0.0,14.0
Q222845,0.0,0.0,1.0
Q3674739,0.0,0.0,1.0
Q1536343,0.0,1.0,0.0
Q4557697,0.0,1.0,0.0
Q615498,0.0,2.0,2.0
Q8134,0.0,0.0,5.0
Q273623,0.0,0.0,1.0
Q768502,0.0,0.0,2.0
Q192275,0.0,0.0,1.0
Q335638,0.0,0.0,1.0
Q37045,0.0,0.0,1.0
Q5862903,0.0,2.0,150.0
Q521,0.0,0.0,1.0
Q8070591,0.0,0.0,1.0
Q10979515,0.0,0.0,1.0
Q12684,0.0,2.0,0.0
Q492264,0.0,0.0,3.0
